3x3,  1828.txt, astar, disjointPDBMax,    18, 1.21,    12,  6496
3x3,  1829.txt, astar, disjointPDBMax,    12, 1.16,    12,  6506
3x3,  1830.txt, astar, disjointPDBMax,    12, 1.15,    12,  6465
3x3,  1831.txt, astar, disjointPDBMax,    12, 1.16,    12,  6592
3x3,  1832.txt, astar, disjointPDBMax,    12, 1.16,    12,  6505
3x3,  1833.txt, astar, disjointPDBMax,    13, 1.16,    12,  6381
3x3,  1834.txt, astar, disjointPDBMax,    12, 1.15,    12,  6435
3x3,  1835.txt, astar, disjointPDBMax,    27, 1.26,    12,  6593
3x3,  1836.txt, astar, disjointPDBMax,    12, 1.16,    12,  6538
3x3,  1837.txt, astar, disjointPDBMax,    12, 1.14,    12,  6440
3x3,  1838.txt, astar, disjointPDBMax,    12, 1.16,    12,  6519
3x3,  1839.txt, astar, disjointPDBMax,    14, 1.17,    12,  6445
3x3,  1840.txt, astar, disjointPDBMax,    12, 1.14,    12,  6480
3x3,  1841.txt, astar, disjointPDBMax,    14, 1.17,    12,  6538
3x3,  1842.txt, astar, disjointPDBMax,    24, 1.26,    12,  6449
3x3,  1843.txt, astar, disjointPDBMax,    12, 1.15,    12,  6417
3x3,  1844.txt, astar, disjointPDBMax,    12, 1.15,    12,  6464
3x3,  1845.txt, astar, disjointPDBMax,    12, 1.16,    12,  6537
3x3,  1846.txt, astar, disjointPDBMax,    12, 1.16,    12,  6461
3x3,  1847.txt, astar, disjointPDBMax,    12, 1.15,    12,  6349
3x3,  1848.txt, astar, disjointPDBMax,    12, 1.13,    12,  6494
3x3,  1849.txt, astar, disjointPDBMax,    23, 1.25,    12,  6485
3x3,  1850.txt, astar, disjointPDBMax,    26, 1.26,    12,  6473
3x3,  2850.txt, astar, disjointPDBMax,    13, 1.14,    13,  6415
3x3,  2851.txt, astar, disjointPDBMax,    25, 1.23,    13,  6517
3x3,  2852.txt, astar, disjointPDBMax,    13, 1.15,    13,  6400
3x3,  2853.txt, astar, disjointPDBMax,    13, 1.14,    13,  6538
3x3,  2854.txt, astar, disjointPDBMax,    18, 1.19,    13,  6414
3x3,  2855.txt, astar, disjointPDBMax,    13, 1.15,    13,  6486
3x3,  2856.txt, astar, disjointPDBMax,    13, 1.14,    13,  6426
3x3,  2857.txt, astar, disjointPDBMax,    14, 1.15,    13,  6400
3x3,  2858.txt, astar, disjointPDBMax,    13, 1.15,    13,  6479
3x3,  2859.txt, astar, disjointPDBMax,    13, 1.15,    13,  6474
3x3,  2860.txt, astar, disjointPDBMax,    13, 1.14,    13,  6416
3x3,  2861.txt, astar, disjointPDBMax,    15, 1.16,    13,  6489
3x3,  2862.txt, astar, disjointPDBMax,    14, 1.14,    13,  6521
3x3,  2863.txt, astar, disjointPDBMax,    13, 1.14,    13,  6441
3x3,  2864.txt, astar, disjointPDBMax,    13, 1.14,    13,  6389
3x3,  2865.txt, astar, disjointPDBMax,    13, 1.15,    13,  6403
3x3,  2866.txt, astar, disjointPDBMax,    13, 1.15,    13,  6392
3x3,  2867.txt, astar, disjointPDBMax,    13, 1.15,    13,  6459
3x3,  2868.txt, astar, disjointPDBMax,    13, 1.15,    13,  6449
3x3,  2869.txt, astar, disjointPDBMax,    13, 1.13,    13,  6549
3x3,  2870.txt, astar, disjointPDBMax,    13, 1.15,    13,  6437
3x3,  2871.txt, astar, disjointPDBMax,    13, 1.15,    13,  6389
3x3,  2872.txt, astar, disjointPDBMax,    19, 1.19,    13,  6450
3x3,  2873.txt, astar, disjointPDBMax,    13, 1.15,    13,  6389
3x3,  2874.txt, astar, disjointPDBMax,    13, 1.15,    13,  6399
3x3,  4743.txt, astar, disjointPDBMax,    23, 1.19,    14,  6444
3x3,  4744.txt, astar, disjointPDBMax,    14, 1.13,    14,  6500
3x3,  4745.txt, astar, disjointPDBMax,    14, 1.13,    14,  6381
3x3,  4746.txt, astar, disjointPDBMax,    26, 1.21,    14,  6571
3x3,  4747.txt, astar, disjointPDBMax,    14, 1.13,    14,  6376
3x3,  4748.txt, astar, disjointPDBMax,    14, 1.13,    14,  6462
3x3,  4749.txt, astar, disjointPDBMax,    14, 1.13,    14,  6460
3x3,  4750.txt, astar, disjointPDBMax,    14, 1.13,    14,  6357
3x3,  4751.txt, astar, disjointPDBMax,    15, 1.14,    14,  6499
3x3,  4752.txt, astar, disjointPDBMax,    14, 1.13,    14,  6405
3x3,  4753.txt, astar, disjointPDBMax,    14, 1.13,    14,  6391
3x3,  4754.txt, astar, disjointPDBMax,    14, 1.13,    14,  6436
3x3,  4755.txt, astar, disjointPDBMax,    15, 1.14,    14,  6441
3x3,  4756.txt, astar, disjointPDBMax,    14, 1.13,    14,  6447
3x3,  4757.txt, astar, disjointPDBMax,    28, 1.22,    14,  6580
3x3,  4758.txt, astar, disjointPDBMax,    14, 1.13,    14,  6378
3x3,  4759.txt, astar, disjointPDBMax,    14, 1.13,    14,  6543
3x3,  4760.txt, astar, disjointPDBMax,    15, 1.14,    14,  6485
3x3,  4761.txt, astar, disjointPDBMax,    14, 1.13,    14,  6469
3x3,  4762.txt, astar, disjointPDBMax,    15, 1.13,    14,  6448
3x3,  4763.txt, astar, disjointPDBMax,    14, 1.13,    14,  6519
3x3,  4764.txt, astar, disjointPDBMax,    16, 1.14,    14,  6646
3x3,  4765.txt, astar, disjointPDBMax,    14, 1.13,    14,  6506
3x3,  4766.txt, astar, disjointPDBMax,    14, 1.13,    14,  6338
3x3,  4767.txt, astar, disjointPDBMax,    14, 1.13,    14,  6453
3x3,  7255.txt, astar, disjointPDBMax,    15, 1.12,    15,  6435
3x3,  7256.txt, astar, disjointPDBMax,    29, 1.20,    15,  6496
3x3,  7257.txt, astar, disjointPDBMax,    15, 1.13,    15,  6467
3x3,  7258.txt, astar, disjointPDBMax,    20, 1.16,    15,  6423
3x3,  7259.txt, astar, disjointPDBMax,    17, 1.14,    15,  6478
3x3,  7260.txt, astar, disjointPDBMax,    19, 1.15,    15,  6499
3x3,  7261.txt, astar, disjointPDBMax,    15, 1.13,    15,  6386
3x3,  7262.txt, astar, disjointPDBMax,    16, 1.13,    15,  6544
3x3,  7263.txt, astar, disjointPDBMax,    15, 1.13,    15,  6410
3x3,  7264.txt, astar, disjointPDBMax,    29, 1.20,    15,  6382
3x3,  7265.txt, astar, disjointPDBMax,    38, 1.23,    15,  6356
3x3,  7266.txt, astar, disjointPDBMax,    21, 1.16,    15,  6496
3x3,  7267.txt, astar, disjointPDBMax,    15, 1.13,    15,  6460
3x3,  7268.txt, astar, disjointPDBMax,    35, 1.22,    15,  6438
3x3,  7269.txt, astar, disjointPDBMax,    29, 1.20,    15,  6447
3x3,  7270.txt, astar, disjointPDBMax,    16, 1.13,    15,  6419
3x3,  7271.txt, astar, disjointPDBMax,    16, 1.13,    15,  6538
3x3,  7272.txt, astar, disjointPDBMax,    19, 1.15,    15,  6454
3x3,  7273.txt, astar, disjointPDBMax,    15, 1.13,    15,  6379
3x3,  7274.txt, astar, disjointPDBMax,    15, 1.12,    15,  6494
3x3,  7275.txt, astar, disjointPDBMax,    26, 1.18,    15,  6403
3x3,  7276.txt, astar, disjointPDBMax,    17, 1.14,    15,  6422
3x3,  7277.txt, astar, disjointPDBMax,    42, 1.24,    15,  6498
3x3,  7278.txt, astar, disjointPDBMax,    15, 1.12,    15,  6527
3x3,  7279.txt, astar, disjointPDBMax,    21, 1.15,    15,  6521
3x3,  9975.txt, astar, disjointPDBMax,   163, 1.36,    16,  6527
3x3,  9976.txt, astar, disjointPDBMax,    16, 1.12,    16,  6434
3x3,  9977.txt, astar, disjointPDBMax,    16, 1.12,    16,  6440
3x3,  9978.txt, astar, disjointPDBMax,    21, 1.15,    16,  6470
3x3,  9979.txt, astar, disjointPDBMax,    40, 1.20,    16,  6546
3x3,  9980.txt, astar, disjointPDBMax,    16, 1.12,    16,  6484
3x3,  9981.txt, astar, disjointPDBMax,    23, 1.15,    16,  6452
3x3,  9982.txt, astar, disjointPDBMax,    16, 1.12,    16,  6673
3x3,  9983.txt, astar, disjointPDBMax,   196, 1.38,    16,  6344
3x3,  9984.txt, astar, disjointPDBMax,    26, 1.17,    16,  6401
3x3,  9985.txt, astar, disjointPDBMax,    31, 1.19,    16,  6424
3x3,  9986.txt, astar, disjointPDBMax,    20, 1.14,    16,  6500
3x3,  9987.txt, astar, disjointPDBMax,    35, 1.20,    16,  6409
3x3,  9988.txt, astar, disjointPDBMax,    25, 1.17,    16,  6441
3x3,  9989.txt, astar, disjointPDBMax,    28, 1.17,    16,  6572
3x3,  9990.txt, astar, disjointPDBMax,    16, 1.12,    16,  6518
3x3,  9991.txt, astar, disjointPDBMax,    23, 1.16,    16,  6402
3x3,  9992.txt, astar, disjointPDBMax,   116, 1.32,    16,  6475
3x3,  9993.txt, astar, disjointPDBMax,    16, 1.12,    16,  6518
3x3,  9994.txt, astar, disjointPDBMax,    19, 1.13,    16,  6477
