3x3,    40.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    40.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    40.txt, astar, NMaxSwap,     5, 0.00,     5,    22
3x3,    41.txt, astar, manhattan,     6, 0.00,     5,    13
3x3,    41.txt, astar, linearConflict,     6, 0.00,     5,    41
3x3,    41.txt, astar, NMaxSwap,     6, 0.00,     5,    21
3x3,    42.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    42.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    42.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    43.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    43.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    43.txt, astar, NMaxSwap,     5, 0.00,     5,    22
3x3,    44.txt, astar, manhattan,     6, 0.00,     5,    12
3x3,    44.txt, astar, linearConflict,     6, 0.00,     5,    41
3x3,    44.txt, astar, NMaxSwap,     6, 0.00,     5,    22
3x3,    45.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    45.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    45.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    46.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    46.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    46.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    47.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    47.txt, astar, linearConflict,     5, 0.00,     5,    39
3x3,    47.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    48.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    48.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    48.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    49.txt, astar, manhattan,     6, 0.00,     5,    12
3x3,    49.txt, astar, linearConflict,     6, 0.00,     5,    41
3x3,    49.txt, astar, NMaxSwap,     7, 0.00,     5,    25
3x3,    50.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    50.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    50.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    51.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    51.txt, astar, linearConflict,     5, 0.00,     5,    40
3x3,    51.txt, astar, NMaxSwap,    14, 0.00,     5,    26
3x3,    52.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    52.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    52.txt, astar, NMaxSwap,     6, 0.00,     6,    22
3x3,    53.txt, astar, manhattan,     6, 0.00,     6,    12
3x3,    53.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    53.txt, astar, NMaxSwap,    24, 0.00,     6,    29
3x3,    54.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    54.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    54.txt, astar, NMaxSwap,     6, 0.00,     6,    22
3x3,    55.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    55.txt, astar, linearConflict,     6, 0.00,     6,    42
3x3,    55.txt, astar, NMaxSwap,     6, 0.00,     6,    21
3x3,    56.txt, astar, manhattan,     6, 0.00,     6,    12
3x3,    56.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    56.txt, astar, NMaxSwap,     6, 0.00,     6,    22
3x3,    57.txt, astar, manhattan,     8, 0.00,     6,    13
3x3,    57.txt, astar, linearConflict,     8, 0.00,     6,    43
3x3,    57.txt, astar, NMaxSwap,     7, 0.00,     6,    23
3x3,    58.txt, astar, manhattan,     7, 0.00,     6,    15
3x3,    58.txt, astar, linearConflict,     7, 0.00,     6,    42
3x3,    58.txt, astar, NMaxSwap,    16, 0.00,     6,    27
3x3,    59.txt, astar, manhattan,     6, 0.00,     6,    14
3x3,    59.txt, astar, linearConflict,     6, 0.00,     6,    42
3x3,    59.txt, astar, NMaxSwap,     6, 0.00,     6,    23
3x3,    60.txt, astar, manhattan,     6, 0.00,     6,    12
3x3,    60.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    60.txt, astar, NMaxSwap,    15, 0.00,     6,    25
3x3,    61.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    61.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    61.txt, astar, NMaxSwap,     6, 0.00,     6,    21
3x3,    62.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    62.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    62.txt, astar, NMaxSwap,     6, 0.00,     6,    22
3x3,    63.txt, astar, manhattan,     7, 0.00,     6,    13
3x3,    63.txt, astar, linearConflict,     7, 0.00,     6,    42
3x3,    63.txt, astar, NMaxSwap,    11, 0.00,     6,    24
3x3,    64.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    64.txt, astar, linearConflict,     6, 0.00,     6,    42
3x3,    64.txt, astar, NMaxSwap,     6, 0.00,     6,    22
3x3,    65.txt, astar, manhattan,     8, 0.00,     6,    14
3x3,    65.txt, astar, linearConflict,     8, 0.00,     6,    42
3x3,    65.txt, astar, NMaxSwap,     7, 0.00,     6,    22
3x3,    66.txt, astar, manhattan,     9, 0.00,     6,    15
3x3,    66.txt, astar, linearConflict,     9, 0.00,     6,    43
3x3,    66.txt, astar, NMaxSwap,    11, 0.00,     6,    23
3x3,    67.txt, astar, manhattan,     8, 0.00,     6,    14
3x3,    67.txt, astar, linearConflict,     8, 0.00,     6,    42
3x3,    67.txt, astar, NMaxSwap,     7, 0.00,     6,    23
3x3,    68.txt, astar, manhattan,     8, 0.00,     6,    14
3x3,    68.txt, astar, linearConflict,     8, 0.00,     6,    42
3x3,    68.txt, astar, NMaxSwap,     9, 0.00,     6,    23
3x3,    69.txt, astar, manhattan,     7, 0.00,     6,    12
3x3,    69.txt, astar, linearConflict,     7, 0.00,     6,    42
3x3,    69.txt, astar, NMaxSwap,    13, 0.00,     6,    25
3x3,    70.txt, astar, manhattan,     6, 0.00,     6,    12
3x3,    70.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    70.txt, astar, NMaxSwap,     6, 0.00,     6,    23
3x3,    71.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    71.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    71.txt, astar, NMaxSwap,     7, 0.00,     6,    22
3x3,    72.txt, astar, manhattan,    11, 0.00,     6,    16
3x3,    72.txt, astar, linearConflict,    11, 0.00,     6,    45
3x3,    72.txt, astar, NMaxSwap,    26, 0.00,     6,    30
3x3,    73.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    73.txt, astar, linearConflict,     6, 0.00,     6,    41
3x3,    73.txt, astar, NMaxSwap,     6, 0.00,     6,    21
3x3,    74.txt, astar, manhattan,     6, 0.00,     6,    13
3x3,    74.txt, astar, linearConflict,     6, 0.00,     6,    40
