3x3,   704.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4865
3x3,   705.txt, astar, disjointPDBVertical,    11, 1.21,    10,  4662
3x3,   706.txt, astar, disjointPDBVertical,    10, 1.18,    10,  4696
3x3,   975.txt, astar, disjointPDBVertical,    11, 1.17,    11,  4720
3x3,   976.txt, astar, disjointPDBVertical,    12, 1.19,    11,  4728
3x3,   977.txt, astar, disjointPDBVertical,    11, 1.16,    11,  4738
3x3,   978.txt, astar, disjointPDBVertical,    21, 1.27,    11,  4864
3x3,   979.txt, astar, disjointPDBVertical,    12, 1.19,    11,  4663
3x3,   980.txt, astar, disjointPDBVertical,    37, 1.34,    11,  4683
3x3,   981.txt, astar, disjointPDBVertical,    12, 1.18,    11,  4765
3x3,   982.txt, astar, disjointPDBVertical,    43, 1.39,    11,  4823
3x3,   983.txt, astar, disjointPDBVertical,    12, 1.19,    11,  4715
3x3,   984.txt, astar, disjointPDBVertical,    11, 1.17,    11,  4656
3x3,   985.txt, astar, disjointPDBVertical,    11, 1.16,    11,  4736
3x3,   986.txt, astar, disjointPDBVertical,    11, 1.18,    11,  4848
3x3,   987.txt, astar, disjointPDBVertical,    11, 1.18,    11,  4706
3x3,   988.txt, astar, disjointPDBVertical,    11, 1.17,    11,  4720
3x3,   989.txt, astar, disjointPDBVertical,    11, 1.18,    11,  4966
3x3,   990.txt, astar, disjointPDBVertical,    12, 1.19,    11,  4743
3x3,   991.txt, astar, disjointPDBVertical,    11, 1.17,    11,  4766
3x3,   992.txt, astar, disjointPDBVertical,    20, 1.27,    11,  4735
3x3,   993.txt, astar, disjointPDBVertical,    11, 1.17,    11,  4680
3x3,   994.txt, astar, disjointPDBVertical,    20, 1.27,    11,  4820
3x3,   995.txt, astar, disjointPDBVertical,    11, 1.16,    11,  4760
3x3,   996.txt, astar, disjointPDBVertical,    11, 1.17,    11,  4725
3x3,   997.txt, astar, disjointPDBVertical,    11, 1.16,    11,  4726
3x3,   998.txt, astar, disjointPDBVertical,    15, 1.21,    11,  4752
3x3,   999.txt, astar, disjointPDBVertical,    20, 1.26,    11,  4800
3x3,  1826.txt, astar, disjointPDBVertical,    26, 1.26,    12,  4714
3x3,  1827.txt, astar, disjointPDBVertical,    14, 1.17,    12,  4694
3x3,  1828.txt, astar, disjointPDBVertical,    18, 1.21,    12,  4770
3x3,  1829.txt, astar, disjointPDBVertical,    12, 1.16,    12,  4833
3x3,  1830.txt, astar, disjointPDBVertical,    12, 1.15,    12,  4767
3x3,  1831.txt, astar, disjointPDBVertical,    12, 1.16,    12,  4778
3x3,  1832.txt, astar, disjointPDBVertical,    12, 1.16,    12,  4660
3x3,  1833.txt, astar, disjointPDBVertical,    13, 1.16,    12,  4740
3x3,  1834.txt, astar, disjointPDBVertical,    15, 1.19,    12,  4903
