size,heur,expanded,branching,cost,time
3x3,disjointPDBMax,184,1.31,18,7306
3x3,disjointPDBVertical,44,1.19,18,7232
3x3,disjointPDBVertical,165,1.3,18,7224
3x3,nonAdditiveFringe,20,1.11,18,7198
3x3,disjointPDBVertical,149,1.32,17,7194
3x3,disjointPDBHorizontal,18,1.1,18,7167
3x3,disjointPDBMax,19,1.1,19,7158
3x3,disjointPDBMax,41,1.2,17,7153
3x3,disjointPDBMax,40,1.17,18,7136
3x3,disjointPDBMax,19,1.12,17,7120
3x3,nonAdditiveFringe,20,1.11,18,7069
3x3,disjointPDBMax,31,1.16,18,7045
3x3,disjointPDBMax,62,1.2,19,7041
3x3,disjointPDBMax,240,1.36,17,7028
3x3,disjointPDBMax,18,1.1,18,7016
3x3,disjointPDBMax,18,1.11,17,7008
3x3,disjointPDBMax,34,1.16,18,7000
3x3,nonAdditiveFringe,55,1.2,18,7000
3x3,disjointPDBMax,64,1.21,18,6973
3x3,disjointPDBMax,21,1.12,18,6973
3x3,disjointPDBMax,34,1.16,18,6967
3x3,disjointPDBMax,26,1.15,17,6961
3x3,disjointPDBMax,20,1.11,19,6952
3x3,disjointPDBMax,115,1.24,19,6952
4x4,NMaxSwap,573778,2.16,18,6951
3x3,disjointPDBMax,31,1.16,17,6935
3x3,disjointPDBMax,264,1.32,19,6935
3x3,disjointPDBMax,68,1.2,19,6924
3x3,disjointPDBMax,45,1.17,19,6910
3x3,nonAdditiveFringe,31,1.17,17,6898
3x3,disjointPDBMax,20,1.13,17,6890
3x3,disjointPDBMax,23,1.14,17,6889
3x3,disjointPDBMax,94,1.23,19,6879
3x3,disjointPDBMax,19,1.09,19,6875
3x3,disjointPDBMax,18,1.1,18,6857
3x3,disjointPDBMax,20,1.1,19,6855
3x3,disjointPDBHorizontal,19,1.12,17,6850
3x3,disjointPDBMax,6,1.34,6,6838
3x3,disjointPDBMax,38,1.17,18,6836
3x3,disjointPDBMax,30,1.14,19,6835
3x3,disjointPDBMax,20,1.12,17,6828
3x3,disjointPDBMax,36,1.16,19,6824
3x3,disjointPDBMax,144,1.26,19,6823
3x3,disjointPDBMax,85,1.22,19,6820
3x3,disjointPDBMax,19,1.1,19,6817
3x3,disjointPDBMax,17,1.11,17,6815
3x3,disjointPDBMax,54,1.19,19,6814
3x3,disjointPDBMax,33,1.15,18,6791
