3x3,  7270.txt, ida, linearConflict,  2304, 1.57,    15,   155
3x3,  7271.txt, ida, linearConflict,    24, 1.06,    15,    18
3x3,  7272.txt, ida, linearConflict,   168, 1.27,    15,    43
3x3,  7273.txt, ida, linearConflict,    32, 1.09,    15,    20
3x3,  7274.txt, ida, linearConflict,    37, 1.11,    15,    22
3x3,  7275.txt, ida, linearConflict,   262, 1.32,    15,    54
3x3,  7276.txt, ida, linearConflict,   482, 1.39,    15,    73
3x3,  7277.txt, ida, linearConflict,  4710, 1.65,    15,   216
3x3,  7278.txt, ida, linearConflict,   269, 1.32,    15,    58
3x3,  7279.txt, ida, linearConflict,   292, 1.33,    15,    55
3x3,  9975.txt, ida, linearConflict,  2414, 1.52,    16,   145
3x3,  9976.txt, ida, linearConflict,   330, 1.32,    16,    59
3x3,  9977.txt, ida, linearConflict,   167, 1.25,    16,    46
3x3,  9978.txt, ida, linearConflict,   907, 1.42,    16,   100
3x3,  9979.txt, ida, linearConflict,  3093, 1.55,    16,   174
3x3,  9980.txt, ida, linearConflict,   206, 1.27,    16,    48
3x3,  9981.txt, ida, linearConflict,   834, 1.41,    16,    99
3x3,  9982.txt, ida, linearConflict,    32, 1.08,    16,    24
3x3,  9983.txt, ida, linearConflict,  6037, 1.62,    16,   245
3x3,  9984.txt, ida, linearConflict,  1482, 1.47,    16,   125
3x3,  9985.txt, ida, linearConflict,  1711, 1.49,    16,   124
3x3,  9986.txt, ida, linearConflict,   481, 1.35,    16,    70
3x3,  9987.txt, ida, linearConflict,   759, 1.40,    16,    89
3x3,  9988.txt, ida, linearConflict,  1691, 1.48,    16,   126
3x3,  9989.txt, ida, linearConflict,   211, 1.27,    16,    48
3x3,  9990.txt, ida, linearConflict,    33, 1.08,    16,    21
3x3,  9991.txt, ida, linearConflict,   493, 1.36,    16,    73
3x3,  9992.txt, ida, linearConflict,  1394, 1.46,    16,   116
3x3,  9993.txt, ida, linearConflict,   231, 1.28,    16,    52
3x3,  9994.txt, ida, linearConflict,   219, 1.27,    16,    49
3x3,  9995.txt, ida, linearConflict,   291, 1.30,    16,    57
3x3,  9996.txt, ida, linearConflict,    39, 1.10,    16,    23
3x3,  9997.txt, ida, linearConflict,   236, 1.28,    16,    50
3x3,  9998.txt, ida, linearConflict,    95, 1.19,    16,    33
3x3,  9999.txt, ida, linearConflict,    90, 1.18,    16,    33
3x3, 17378.txt, ida, linearConflict,   317, 1.29,    17,    60
3x3, 17379.txt, ida, linearConflict,  2557, 1.49,    17,   149
3x3, 17380.txt, ida, linearConflict,   218, 1.25,    17,    48
3x3, 17381.txt, ida, linearConflict,   404, 1.31,    17,    71
3x3, 17382.txt, ida, linearConflict,   133, 1.20,    17,    39
3x3, 17383.txt, ida, linearConflict,  2720, 1.49,    17,   154
3x3, 17384.txt, ida, linearConflict,    34, 1.07,    17,    22
3x3, 17385.txt, ida, linearConflict,    80, 1.16,    17,    30
3x3, 17386.txt, ida, linearConflict,   941, 1.39,    17,   101
3x3, 17387.txt, ida, linearConflict,    33, 1.07,    17,    20
3x3, 17388.txt, ida, linearConflict,  7231, 1.59,    17,   308
3x3, 17389.txt, ida, linearConflict,  1921, 1.46,    17,   138
3x3, 17390.txt, ida, linearConflict,  7032, 1.59,    17,   291
3x3, 17391.txt, ida, linearConflict,  9124, 1.62,    17,   340
3x3, 17392.txt, ida, linearConflict,   914, 1.39,    17,    99
3x3, 17393.txt, ida, linearConflict,   369, 1.30,    17,    64
3x3, 17394.txt, ida, linearConflict,  4321, 1.54,    17,   223
3x3, 17395.txt, ida, linearConflict,   947, 1.39,    17,   102
3x3, 17396.txt, ida, linearConflict,  1269, 1.42,    17,   117
