3x3,  1847.txt, astar, disjointPDBHorizontal,    16, 1.19,    12,  4753
3x3,  1848.txt, astar, disjointPDBHorizontal,    12, 1.13,    12,  4801
3x3,  1849.txt, astar, disjointPDBHorizontal,    23, 1.25,    12,  4785
3x3,  1850.txt, astar, disjointPDBHorizontal,    26, 1.26,    12,  4776
3x3,  2850.txt, astar, disjointPDBHorizontal,    14, 1.15,    13,  4719
3x3,  2851.txt, astar, disjointPDBHorizontal,    25, 1.23,    13,  4660
3x3,  2852.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4766
3x3,  2853.txt, astar, disjointPDBHorizontal,    13, 1.14,    13,  4948
3x3,  2854.txt, astar, disjointPDBHorizontal,    55, 1.32,    13,  4807
3x3,  2855.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4733
3x3,  2856.txt, astar, disjointPDBHorizontal,    14, 1.15,    13,  4798
3x3,  2857.txt, astar, disjointPDBHorizontal,    19, 1.19,    13,  4733
3x3,  2858.txt, astar, disjointPDBHorizontal,    14, 1.15,    13,  4768
3x3,  2859.txt, astar, disjointPDBHorizontal,    14, 1.15,    13,  4764
3x3,  2860.txt, astar, disjointPDBHorizontal,    13, 1.14,    13,  4819
3x3,  2861.txt, astar, disjointPDBHorizontal,    16, 1.17,    13,  4688
3x3,  2862.txt, astar, disjointPDBHorizontal,    76, 1.36,    13,  4740
3x3,  2863.txt, astar, disjointPDBHorizontal,    13, 1.14,    13,  4792
3x3,  2864.txt, astar, disjointPDBHorizontal,    13, 1.14,    13,  4770
3x3,  2865.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4746
3x3,  2866.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4702
3x3,  2867.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4799
3x3,  2868.txt, astar, disjointPDBHorizontal,    14, 1.15,    13,  4720
3x3,  2869.txt, astar, disjointPDBHorizontal,    13, 1.13,    13,  4803
3x3,  2870.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4846
3x3,  2871.txt, astar, disjointPDBHorizontal,    15, 1.16,    13,  4727
3x3,  2872.txt, astar, disjointPDBHorizontal,    24, 1.22,    13,  4736
3x3,  2873.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4736
3x3,  2874.txt, astar, disjointPDBHorizontal,    13, 1.15,    13,  4813
3x3,  4743.txt, astar, disjointPDBHorizontal,    23, 1.19,    14,  4843
3x3,  4744.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4947
3x3,  4745.txt, astar, disjointPDBHorizontal,    16, 1.15,    14,  4809
3x3,  4746.txt, astar, disjointPDBHorizontal,    26, 1.21,    14,  4720
3x3,  4747.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4733
3x3,  4748.txt, astar, disjointPDBHorizontal,    25, 1.20,    14,  4724
3x3,  4749.txt, astar, disjointPDBHorizontal,    16, 1.15,    14,  4749
3x3,  4750.txt, astar, disjointPDBHorizontal,    15, 1.13,    14,  4731
3x3,  4751.txt, astar, disjointPDBHorizontal,    15, 1.14,    14,  4957
3x3,  4752.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4738
3x3,  4753.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4807
3x3,  4754.txt, astar, disjointPDBHorizontal,    15, 1.14,    14,  4719
3x3,  4755.txt, astar, disjointPDBHorizontal,    16, 1.15,    14,  4759
3x3,  4756.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4732
3x3,  4757.txt, astar, disjointPDBHorizontal,   115, 1.37,    14,  4720
3x3,  4758.txt, astar, disjointPDBHorizontal,    15, 1.14,    14,  4842
3x3,  4759.txt, astar, disjointPDBHorizontal,    21, 1.18,    14,  4815
3x3,  4760.txt, astar, disjointPDBHorizontal,    23, 1.19,    14,  4903
3x3,  4761.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4742
3x3,  4762.txt, astar, disjointPDBHorizontal,   104, 1.36,    14,  4802
3x3,  4763.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4895
3x3,  4764.txt, astar, disjointPDBHorizontal,    17, 1.15,    14,  4759
3x3,  4765.txt, astar, disjointPDBHorizontal,    15, 1.14,    14,  4729
3x3,  4766.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4845
3x3,  4767.txt, astar, disjointPDBHorizontal,    14, 1.13,    14,  4716
3x3,  7255.txt, astar, disjointPDBHorizontal,    15, 1.12,    15,  4712
3x3,  7256.txt, astar, disjointPDBHorizontal,    33, 1.21,    15,  4748
3x3,  7257.txt, astar, disjointPDBHorizontal,    17, 1.14,    15,  4818
3x3,  7258.txt, astar, disjointPDBHorizontal,    20, 1.16,    15,  4728
3x3,  7259.txt, astar, disjointPDBHorizontal,    19, 1.15,    15,  4841
3x3,  7260.txt, astar, disjointPDBHorizontal,    34, 1.21,    15,  4756
3x3,  7261.txt, astar, disjointPDBHorizontal,    18, 1.14,    15,  4691
3x3,  7262.txt, astar, disjointPDBHorizontal,    17, 1.13,    15,  4653
3x3,  7263.txt, astar, disjointPDBHorizontal,    15, 1.13,    15,  4704
3x3,  7264.txt, astar, disjointPDBHorizontal,    29, 1.20,    15,  4724
3x3,  7265.txt, astar, disjointPDBHorizontal,    71, 1.29,    15,  4745
3x3,  7266.txt, astar, disjointPDBHorizontal,    25, 1.18,    15,  4760
3x3,  7267.txt, astar, disjointPDBHorizontal,    15, 1.13,    15,  4810
3x3,  7268.txt, astar, disjointPDBHorizontal,    36, 1.23,    15,  4820
3x3,  7269.txt, astar, disjointPDBHorizontal,    29, 1.20,    15,  4803
3x3,  7270.txt, astar, disjointPDBHorizontal,    16, 1.13,    15,  4683
3x3,  7271.txt, astar, disjointPDBHorizontal,    28, 1.20,    15,  4764
3x3,  7272.txt, astar, disjointPDBHorizontal,    33, 1.22,    15,  4735
3x3,  7273.txt, astar, disjointPDBHorizontal,    16, 1.13,    15,  4797
3x3,  7274.txt, astar, disjointPDBHorizontal,    15, 1.12,    15,  4779
3x3,  7275.txt, astar, disjointPDBHorizontal,    35, 1.22,    15,  4879
3x3,  7276.txt, astar, disjointPDBHorizontal,    29, 1.20,    15,  4726
3x3,  7277.txt, astar, disjointPDBHorizontal,   138, 1.36,    15,  4773
3x3,  7278.txt, astar, disjointPDBHorizontal,    20, 1.15,    15,  4784
3x3,  7279.txt, astar, disjointPDBHorizontal,    45, 1.23,    15,  4753
3x3,  9975.txt, astar, disjointPDBHorizontal,   312, 1.42,    16,  4747
3x3,  9976.txt, astar, disjointPDBHorizontal,    16, 1.12,    16,  4808
3x3,  9977.txt, astar, disjointPDBHorizontal,    17, 1.12,    16,  4708
3x3,  9978.txt, astar, disjointPDBHorizontal,    26, 1.17,    16,  4700
3x3,  9979.txt, astar, disjointPDBHorizontal,    40, 1.20,    16,  4805
3x3,  9980.txt, astar, disjointPDBHorizontal,    18, 1.13,    16,  4762
3x3,  9981.txt, astar, disjointPDBHorizontal,    37, 1.21,    16,  4723
3x3,  9982.txt, astar, disjointPDBHorizontal,    16, 1.12,    16,  4826
3x3,  9983.txt, astar, disjointPDBHorizontal,   341, 1.43,    16,  4840
3x3,  9984.txt, astar, disjointPDBHorizontal,    86, 1.28,    16,  4773
3x3,  9985.txt, astar, disjointPDBHorizontal,    32, 1.19,    16,  4810
3x3,  9986.txt, astar, disjointPDBHorizontal,    46, 1.23,    16,  4819
3x3,  9987.txt, astar, disjointPDBHorizontal,    47, 1.23,    16,  4774
3x3,  9988.txt, astar, disjointPDBHorizontal,    50, 1.23,    16,  4717
3x3,  9989.txt, astar, disjointPDBHorizontal,    29, 1.18,    16,  4766
3x3,  9990.txt, astar, disjointPDBHorizontal,    18, 1.13,    16,  4807
3x3,  9991.txt, astar, disjointPDBHorizontal,    23, 1.16,    16,  4729
3x3,  9992.txt, astar, disjointPDBHorizontal,   165, 1.35,    16,  4720
3x3,  9993.txt, astar, disjointPDBHorizontal,   545, 1.47,    16,  4868
3x3,  9994.txt, astar, disjointPDBHorizontal,    45, 1.22,    16,  4779
3x3,  9995.txt, astar, disjointPDBHorizontal,    63, 1.25,    16,  4693
3x3,  9996.txt, astar, disjointPDBHorizontal,    18, 1.13,    16,  4689
3x3,  9997.txt, astar, disjointPDBHorizontal,    18, 1.13,    16,  4801
3x3,  9998.txt, astar, disjointPDBHorizontal,    28, 1.17,    16,  4754
3x3,  9999.txt, astar, disjointPDBHorizontal,    27, 1.17,    16,  4851
3x3, 17378.txt, astar, disjointPDBHorizontal,    61, 1.23,    17,  4626
3x3, 17379.txt, astar, disjointPDBHorizontal,    30, 1.16,    17,  4748
3x3, 17380.txt, astar, disjointPDBHorizontal,    17, 1.11,    17,  4750
3x3, 17381.txt, astar, disjointPDBHorizontal,    21, 1.13,    17,  4683
3x3, 17382.txt, astar, disjointPDBHorizontal,    17, 1.11,    17,  5003
3x3, 17383.txt, astar, disjointPDBHorizontal,    43, 1.20,    17,  4871
3x3, 17384.txt, astar, disjointPDBHorizontal,    44, 1.20,    17,  5133
3x3, 17385.txt, astar, disjointPDBHorizontal,    17, 1.11,    17,  4867
3x3, 17386.txt, astar, disjointPDBHorizontal,    22, 1.13,    17,  8538
3x3, 17387.txt, astar, disjointPDBHorizontal,    20, 1.13,    17,  5282
3x3, 17388.txt, astar, disjointPDBHorizontal,  1235, 1.52,    17, 11794
3x3, 17389.txt, astar, disjointPDBHorizontal,    20, 1.12,    17, 12907
3x3, 17390.txt, astar, disjointPDBHorizontal,    98, 1.27,    17,  7628
3x3, 17391.txt, astar, disjointPDBHorizontal,    25, 1.14,    17,  5128
3x3, 17392.txt, astar, disjointPDBHorizontal,    79, 1.25,    17,  5212
3x3, 17393.txt, astar, disjointPDBHorizontal,    19, 1.12,    17,  6850
3x3, 17394.txt, astar, disjointPDBHorizontal,   298, 1.38,    17,  5076
3x3, 17395.txt, astar, disjointPDBHorizontal,    56, 1.22,    17,  5056
3x3, 17396.txt, astar, disjointPDBHorizontal,    18, 1.11,    17,  5119
3x3, 17397.txt, astar, disjointPDBHorizontal,    29, 1.15,    17,  5302
