3x3,  2863.txt, astar, nonAdditiveFringe,    15, 1.16,    13,  4972
3x3,  2864.txt, astar, nonAdditiveFringe,    15, 1.16,    13,  5041
3x3,  2865.txt, astar, nonAdditiveFringe,    56, 1.33,    13,  5021
3x3,  2866.txt, astar, nonAdditiveFringe,    13, 1.15,    13,  5140
3x3,  2867.txt, astar, nonAdditiveFringe,    13, 1.15,    13,  5189
3x3,  2868.txt, astar, nonAdditiveFringe,    56, 1.33,    13,  5193
3x3,  2869.txt, astar, nonAdditiveFringe,    13, 1.13,    13,  5080
3x3,  2870.txt, astar, nonAdditiveFringe,    14, 1.16,    13,  5028
3x3,  2871.txt, astar, nonAdditiveFringe,    79, 1.38,    13,  4964
3x3,  2872.txt, astar, nonAdditiveFringe,    13, 1.14,    13,  5063
3x3,  2873.txt, astar, nonAdditiveFringe,    13, 1.15,    13,  5018
3x3,  2874.txt, astar, nonAdditiveFringe,    13, 1.15,    13,  5117
3x3,  4743.txt, astar, nonAdditiveFringe,    28, 1.21,    14,  5092
3x3,  4744.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5014
3x3,  4745.txt, astar, nonAdditiveFringe,    16, 1.15,    14,  5161
3x3,  4746.txt, astar, nonAdditiveFringe,   143, 1.40,    14,  5014
3x3,  4747.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5080
3x3,  4748.txt, astar, nonAdditiveFringe,    16, 1.15,    14,  5132
3x3,  4749.txt, astar, nonAdditiveFringe,    15, 1.14,    14,  5150
3x3,  4750.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5132
3x3,  4751.txt, astar, nonAdditiveFringe,    16, 1.15,    14,  5138
3x3,  4752.txt, astar, nonAdditiveFringe,    42, 1.26,    14,  5159
3x3,  4753.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5096
3x3,  4754.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5249
3x3,  4755.txt, astar, nonAdditiveFringe,   169, 1.42,    14,  5071
3x3,  4756.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5080
3x3,  4757.txt, astar, nonAdditiveFringe,    15, 1.14,    14,  5104
3x3,  4758.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5132
3x3,  4759.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  4994
3x3,  4760.txt, astar, nonAdditiveFringe,    15, 1.14,    14,  5016
3x3,  4761.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5112
3x3,  4762.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5021
3x3,  4763.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5050
3x3,  4764.txt, astar, nonAdditiveFringe,    14, 1.13,    14,  5108
3x3,  4765.txt, astar, nonAdditiveFringe,   129, 1.39,    14,  5023
3x3,  4766.txt, astar, nonAdditiveFringe,    16, 1.14,    14,  5091
3x3,  4767.txt, astar, nonAdditiveFringe,    16, 1.14,    14,  5070
3x3,  7255.txt, astar, nonAdditiveFringe,    15, 1.12,    15,  5161
3x3,  7256.txt, astar, nonAdditiveFringe,    32, 1.21,    15,  5104
3x3,  7257.txt, astar, nonAdditiveFringe,    17, 1.14,    15,  5006
3x3,  7258.txt, astar, nonAdditiveFringe,    17, 1.14,    15,  5175
3x3,  7259.txt, astar, nonAdditiveFringe,    16, 1.13,    15,  5230
3x3,  7260.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5179
3x3,  7261.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5108
3x3,  7262.txt, astar, nonAdditiveFringe,    15, 1.12,    15,  5063
3x3,  7263.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5019
3x3,  7264.txt, astar, nonAdditiveFringe,    29, 1.20,    15,  5135
3x3,  7265.txt, astar, nonAdditiveFringe,    16, 1.13,    15,  5125
3x3,  7266.txt, astar, nonAdditiveFringe,    98, 1.33,    15,  5046
3x3,  7267.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5078
3x3,  7268.txt, astar, nonAdditiveFringe,    16, 1.13,    15,  4982
3x3,  7269.txt, astar, nonAdditiveFringe,    16, 1.13,    15,  5153
3x3,  7270.txt, astar, nonAdditiveFringe,    15, 1.12,    15,  5001
3x3,  7271.txt, astar, nonAdditiveFringe,  2329, 1.69,    15,  5227
3x3,  7272.txt, astar, nonAdditiveFringe,  1531, 1.64,    15,  5347
3x3,  7273.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5119
3x3,  7274.txt, astar, nonAdditiveFringe,    15, 1.12,    15,  5107
3x3,  7275.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5057
3x3,  7276.txt, astar, nonAdditiveFringe,    15, 1.13,    15,  5081
3x3,  7277.txt, astar, nonAdditiveFringe,    16, 1.13,    15,  5113
3x3,  7278.txt, astar, nonAdditiveFringe,    15, 1.12,    15,  5064
3x3,  7279.txt, astar, nonAdditiveFringe,    15, 1.12,    15,  5290
3x3,  9975.txt, astar, nonAdditiveFringe,    32, 1.18,    16,  5023
3x3,  9976.txt, astar, nonAdditiveFringe,    16, 1.12,    16,  5071
3x3,  9977.txt, astar, nonAdditiveFringe,    16, 1.12,    16,  5126
3x3,  9978.txt, astar, nonAdditiveFringe,   608, 1.49,    16,  5150
3x3,  9979.txt, astar, nonAdditiveFringe,   327, 1.42,    16,  5281
3x3,  9980.txt, astar, nonAdditiveFringe,    18, 1.13,    16,  5022
3x3,  9981.txt, astar, nonAdditiveFringe,    23, 1.16,    16,  5146
