3x3,  1829.txt, astar, NMaxSwap,    39, 1.33,    12,    35
3x3,  1830.txt, astar, NMaxSwap,   640, 1.74,    12,   100
3x3,  1831.txt, astar, NMaxSwap,   219, 1.59,    12,    71
3x3,  1832.txt, astar, NMaxSwap,   914, 1.82,    12,   125
3x3,  1833.txt, astar, NMaxSwap,  6620, 2.16,    12,   280
3x3,  1834.txt, astar, NMaxSwap,  4330, 2.09,    12,   224
3x3,  1835.txt, astar, NMaxSwap,  8354, 2.20,    12,   291
3x3,  1836.txt, astar, NMaxSwap,   399, 1.67,    12,    88
3x3,  1837.txt, astar, NMaxSwap, 16505, 2.33,    12,   369
3x3,  1838.txt, astar, NMaxSwap,   171, 1.53,    12,    63
3x3,  1839.txt, astar, NMaxSwap,  6976, 2.16,    12,   283
3x3,  1840.txt, astar, NMaxSwap,  4902, 2.10,    12,   243
3x3,  1841.txt, astar, NMaxSwap,  3909, 2.04,    12,   220
3x3,  1842.txt, astar, NMaxSwap,   247, 1.60,    12,    73
3x3,  1843.txt, astar, NMaxSwap,   760, 1.77,    12,   108
3x3,  1844.txt, astar, NMaxSwap,  5015, 2.11,    12,   261
3x3,  1845.txt, astar, NMaxSwap,  2542, 1.98,    12,   177
3x3,  1846.txt, astar, NMaxSwap,   420, 1.68,    12,    94
3x3,  1847.txt, astar, NMaxSwap,  3599, 2.05,    12,   215
3x3,  1848.txt, astar, NMaxSwap,   298, 1.64,    12,    81
3x3,  1849.txt, astar, NMaxSwap,   570, 1.72,    12,   101
3x3,  1850.txt, astar, NMaxSwap,  6958, 2.16,    12,   272
3x3,  2850.txt, astar, NMaxSwap,   792, 1.69,    13,   109
3x3,  2851.txt, astar, NMaxSwap,  1332, 1.76,    13,   136
3x3,  2852.txt, astar, NMaxSwap,   170, 1.47,    13,    60
3x3,  2853.txt, astar, NMaxSwap,   387, 1.59,    13,    86
3x3,  2854.txt, astar, NMaxSwap, 14577, 2.17,    13,   364
3x3,  2855.txt, astar, NMaxSwap,  1084, 1.74,    13,   125
3x3,  2856.txt, astar, NMaxSwap,  8405, 2.07,    13,   308
3x3,  2857.txt, astar, NMaxSwap, 25083, 2.27,    13,   467
3x3,  2858.txt, astar, NMaxSwap,  1593, 1.80,    13,   145
3x3,  2859.txt, astar, NMaxSwap,  1389, 1.77,    13,   139
3x3,  2860.txt, astar, NMaxSwap,   986, 1.73,    13,   124
3x3,  2861.txt, astar, NMaxSwap, 23613, 2.24,    13,   409
3x3,  2862.txt, astar, NMaxSwap, 324545, 2.77,    13,  2464
3x3,  2863.txt, astar, NMaxSwap, 11237, 2.11,    13,   313
3x3,  2864.txt, astar, NMaxSwap, 23936, 2.24,    13,   408
3x3,  2865.txt, astar, NMaxSwap,   348, 1.57,    13,    81
3x3,  2866.txt, astar, NMaxSwap,    68, 1.36,    13,    43
3x3,  2867.txt, astar, NMaxSwap,    48, 1.32,    13,    37
3x3,  2868.txt, astar, NMaxSwap,   684, 1.67,    13,   108
3x3,  2869.txt, astar, NMaxSwap,  2008, 1.83,    13,   152
3x3,  2870.txt, astar, NMaxSwap,   108, 1.42,    13,    51
3x3,  2871.txt, astar, NMaxSwap,   178, 1.48,    13,    62
3x3,  2872.txt, astar, NMaxSwap, 11574, 2.11,    13,   313
3x3,  2873.txt, astar, NMaxSwap,    63, 1.35,    13,    42
3x3,  2874.txt, astar, NMaxSwap,   173, 1.48,    13,    62
3x3,  4743.txt, astar, NMaxSwap,  5657, 1.90,    14,   257
3x3,  4744.txt, astar, NMaxSwap, 550059, 2.67,    14,  3818
3x3,  4745.txt, astar, NMaxSwap, 23142, 2.12,    14,   437
3x3,  4746.txt, astar, NMaxSwap,  1264, 1.68,    14,   134
3x3,  4747.txt, astar, NMaxSwap,  1733, 1.74,    14,   157
3x3,  4748.txt, astar, NMaxSwap,  2657, 1.79,    14,   186
3x3,  4749.txt, astar, NMaxSwap,  7661, 1.95,    14,   300
3x3,  4750.txt, astar, NMaxSwap,  1959, 1.74,    14,   162
3x3,  4751.txt, astar, NMaxSwap,  9634, 1.97,    14,   295
3x3,  4752.txt, astar, NMaxSwap,  4648, 1.86,    14,   237
3x3,  4753.txt, astar, NMaxSwap,    78, 1.34,    14,    47
3x3,  4754.txt, astar, NMaxSwap,  6758, 1.76,    16,   315
3x3,  4755.txt, astar, NMaxSwap,  6564, 1.92,    14,   243
3x3,  4756.txt, astar, NMaxSwap,  2148, 1.75,    14,   153
3x3,  4757.txt, astar, NMaxSwap, 56665, 2.26,    14,   632
3x3,  4758.txt, astar, NMaxSwap,  1974, 1.75,    14,   151
3x3,  4759.txt, astar, NMaxSwap, 49772, 2.25,    14,   618
3x3,  4760.txt, astar, NMaxSwap, 14943, 2.05,    14,   354
3x3,  4761.txt, astar, NMaxSwap,   110, 1.38,    14,    50
3x3,  4762.txt, astar, NMaxSwap, 599166, 2.69,    14,  4173
3x3,  4763.txt, astar, NMaxSwap,  2140, 1.76,    14,   159
3x3,  4764.txt, astar, NMaxSwap, 26648, 2.13,    14,   406
3x3,  4765.txt, astar, NMaxSwap,   374, 1.52,    14,    83
3x3,  4766.txt, astar, NMaxSwap, 85470, 2.32,    14,   843
3x3,  4767.txt, astar, NMaxSwap, 32548, 2.16,    14,   510
3x3,  7255.txt, astar, NMaxSwap, 25054, 2.02,    15,   433
3x3,  7256.txt, astar, NMaxSwap,  8158, 1.72,    17,   296
3x3,  7257.txt, astar, NMaxSwap, 17162, 1.97,    15,   356
3x3,  7258.txt, astar, NMaxSwap, 19166, 1.97,    15,   354
3x3,  7259.txt, astar, NMaxSwap, 24387, 2.02,    15,   428
3x3,  7260.txt, astar, NMaxSwap, 114453, 2.26,    15,  1109
3x3,  7261.txt, astar, NMaxSwap, 74547, 2.19,    15,   799
