boardID,algo,heur,size,expanded,branching,time,cost
7275.txt,astar,disjointPDBHorizontal,3x3,35,0.22,4879,15
7276.txt,astar,disjointPDBHorizontal,3x3,29,0.2,4726,15
7277.txt,astar,disjointPDBHorizontal,3x3,138,0.36,4773,15
7278.txt,astar,disjointPDBHorizontal,3x3,20,0.15,4784,15
7279.txt,astar,disjointPDBHorizontal,3x3,45,0.23,4753,15
9975.txt,astar,disjointPDBHorizontal,3x3,312,0.42,4747,16
9976.txt,astar,disjointPDBHorizontal,3x3,16,0.12,4808,16
9977.txt,astar,disjointPDBHorizontal,3x3,17,0.12,4708,16
9978.txt,astar,disjointPDBHorizontal,3x3,26,0.17,4700,16
9979.txt,astar,disjointPDBHorizontal,3x3,40,0.2,4805,16
9980.txt,astar,disjointPDBHorizontal,3x3,18,0.13,4762,16
9981.txt,astar,disjointPDBHorizontal,3x3,37,0.21,4723,16
9982.txt,astar,disjointPDBHorizontal,3x3,16,0.12,4826,16
9983.txt,astar,disjointPDBHorizontal,3x3,341,0.43,4840,16
9984.txt,astar,disjointPDBHorizontal,3x3,86,0.28,4773,16
9985.txt,astar,disjointPDBHorizontal,3x3,32,0.19,4810,16
9986.txt,astar,disjointPDBHorizontal,3x3,46,0.23,4819,16
9987.txt,astar,disjointPDBHorizontal,3x3,47,0.23,4774,16
9988.txt,astar,disjointPDBHorizontal,3x3,50,0.23,4717,16
9989.txt,astar,disjointPDBHorizontal,3x3,29,0.18,4766,16
9990.txt,astar,disjointPDBHorizontal,3x3,18,0.13,4807,16
9991.txt,astar,disjointPDBHorizontal,3x3,23,0.16,4729,16
9992.txt,astar,disjointPDBHorizontal,3x3,165,0.35,4720,16
9993.txt,astar,disjointPDBHorizontal,3x3,545,0.47,4868,16
9994.txt,astar,disjointPDBHorizontal,3x3,45,0.22,4779,16
9995.txt,astar,disjointPDBHorizontal,3x3,63,0.25,4693,16
9996.txt,astar,disjointPDBHorizontal,3x3,18,0.13,4689,16
9997.txt,astar,disjointPDBHorizontal,3x3,18,0.13,4801,16
9998.txt,astar,disjointPDBHorizontal,3x3,28,0.17,4754,16
9999.txt,astar,disjointPDBHorizontal,3x3,27,0.17,4851,16
17378.txt,astar,disjointPDBHorizontal,3x3,61,0.23,4626,17
17379.txt,astar,disjointPDBHorizontal,3x3,30,0.16,4748,17
17380.txt,astar,disjointPDBHorizontal,3x3,17,0.11,4750,17
17381.txt,astar,disjointPDBHorizontal,3x3,21,0.13,4683,17
17382.txt,astar,disjointPDBHorizontal,3x3,17,0.11,5003,17
17383.txt,astar,disjointPDBHorizontal,3x3,43,0.2,4871,17
17384.txt,astar,disjointPDBHorizontal,3x3,44,0.2,5133,17
17385.txt,astar,disjointPDBHorizontal,3x3,17,0.11,4867,17
17386.txt,astar,disjointPDBHorizontal,3x3,22,0.13,8538,17
17387.txt,astar,disjointPDBHorizontal,3x3,20,0.13,5282,17
17388.txt,astar,disjointPDBHorizontal,3x3,1235,0.52,11794,17
17389.txt,astar,disjointPDBHorizontal,3x3,20,0.12,12907,17
17390.txt,astar,disjointPDBHorizontal,3x3,98,0.27,7628,17
17391.txt,astar,disjointPDBHorizontal,3x3,25,0.14,5128,17
17392.txt,astar,disjointPDBHorizontal,3x3,79,0.25,5212,17
17393.txt,astar,disjointPDBHorizontal,3x3,19,0.12,6850,17
17394.txt,astar,disjointPDBHorizontal,3x3,298,0.38,5076,17
17395.txt,astar,disjointPDBHorizontal,3x3,56,0.22,5056,17
17396.txt,astar,disjointPDBHorizontal,3x3,18,0.11,5119,17
17397.txt,astar,disjointPDBHorizontal,3x3,29,0.15,5302,17
17398.txt,astar,disjointPDBHorizontal,3x3,27,0.16,5748,17
17399.txt,astar,disjointPDBHorizontal,3x3,18,0.12,12171,17
17400.txt,astar,disjointPDBHorizontal,3x3,30,0.16,5916,17
17401.txt,astar,disjointPDBHorizontal,3x3,50,0.21,8757,17
17402.txt,astar,disjointPDBHorizontal,3x3,31,0.17,7751,17
26907.txt,astar,disjointPDBHorizontal,3x3,18,0.1,12086,18
26908.txt,astar,disjointPDBHorizontal,3x3,29,0.15,12242,18
26909.txt,astar,disjointPDBHorizontal,3x3,54,0.2,12249,18
26910.txt,astar,disjointPDBHorizontal,3x3,52,0.2,12747,18
26911.txt,astar,disjointPDBHorizontal,3x3,18,0.1,5686,18
26912.txt,astar,disjointPDBHorizontal,3x3,36,0.17,5099,18
26913.txt,astar,disjointPDBHorizontal,3x3,51,0.19,5098,18
26914.txt,astar,disjointPDBHorizontal,3x3,97,0.25,5026,18
26915.txt,astar,disjointPDBHorizontal,3x3,189,0.31,5029,18
26916.txt,astar,disjointPDBHorizontal,3x3,48,0.19,5235,18
26917.txt,astar,disjointPDBHorizontal,3x3,100,0.25,5376,18
26918.txt,astar,disjointPDBHorizontal,3x3,3043,0.57,6787,18
26919.txt,astar,disjointPDBHorizontal,3x3,23,0.12,9997,18
26920.txt,astar,disjointPDBHorizontal,3x3,28,0.14,5717,18
26921.txt,astar,disjointPDBHorizontal,3x3,49,0.19,8577,18
26922.txt,astar,disjointPDBHorizontal,3x3,36,0.17,9463,18
26923.txt,astar,disjointPDBHorizontal,3x3,42,0.18,12669,18
26924.txt,astar,disjointPDBHorizontal,3x3,25,0.13,12750,18
26925.txt,astar,disjointPDBHorizontal,3x3,26,0.13,12458,18
26926.txt,astar,disjointPDBHorizontal,3x3,22,0.12,12578,18
26927.txt,astar,disjointPDBHorizontal,3x3,144,0.29,5283,18
26928.txt,astar,disjointPDBHorizontal,3x3,18,0.1,7167,18
26929.txt,astar,disjointPDBHorizontal,3x3,20,0.11,10969,18
26930.txt,astar,disjointPDBHorizontal,3x3,32,0.15,5135,18
26931.txt,astar,disjointPDBHorizontal,3x3,38,0.17,5049,18
37785.txt,astar,disjointPDBHorizontal,3x3,21,0.11,5190,19
37786.txt,astar,disjointPDBHorizontal,3x3,25,0.12,5071,19
37787.txt,astar,disjointPDBHorizontal,3x3,21,0.11,5162,19
37788.txt,astar,disjointPDBHorizontal,3x3,351,0.34,5674,19
37789.txt,astar,disjointPDBHorizontal,3x3,21,0.1,8573,19
37790.txt,astar,disjointPDBHorizontal,3x3,571,0.37,5106,19
37791.txt,astar,disjointPDBHorizontal,3x3,339,0.34,5159,19
37792.txt,astar,disjointPDBHorizontal,3x3,79,0.21,5159,19
37793.txt,astar,disjointPDBHorizontal,3x3,19,0.09,5120,19
37794.txt,astar,disjointPDBHorizontal,3x3,32,0.14,5110,19
37795.txt,astar,disjointPDBHorizontal,3x3,84,0.22,5045,19
37796.txt,astar,disjointPDBHorizontal,3x3,85,0.22,5122,19
37797.txt,astar,disjointPDBHorizontal,3x3,186,0.28,5043,19
37798.txt,astar,disjointPDBHorizontal,3x3,19,0.1,5046,19
37799.txt,astar,disjointPDBHorizontal,3x3,2516,0.51,5089,19
