boardID,algo,heur,size,expanded,branching,time,cost
4754.txt,astar,linearConflict,3x3,154,0.41,76,14
4755.txt,astar,linearConflict,3x3,100,0.36,68,14
4756.txt,astar,linearConflict,3x3,31,0.22,51,14
4757.txt,astar,linearConflict,3x3,1706,0.72,173,14
4758.txt,astar,linearConflict,3x3,34,0.23,53,14
4759.txt,astar,linearConflict,3x3,99,0.36,68,14
4760.txt,astar,linearConflict,3x3,700,0.6,129,14
4761.txt,astar,linearConflict,3x3,24,0.19,49,14
4762.txt,astar,linearConflict,3x3,1799,0.72,181,14
4763.txt,astar,linearConflict,3x3,59,0.29,63,14
4764.txt,astar,linearConflict,3x3,763,0.61,132,14
4765.txt,astar,linearConflict,3x3,41,0.25,54,14
4766.txt,astar,linearConflict,3x3,99,0.36,68,14
4767.txt,astar,linearConflict,3x3,25,0.19,50,14
7255.txt,astar,linearConflict,3x3,167,0.38,77,15
7256.txt,astar,linearConflict,3x3,92,0.32,68,15
7257.txt,astar,linearConflict,3x3,33,0.21,53,15
7258.txt,astar,linearConflict,3x3,734,0.55,131,15
7259.txt,astar,linearConflict,3x3,83,0.31,66,15
7260.txt,astar,linearConflict,3x3,1236,0.61,161,15
7261.txt,astar,linearConflict,3x3,313,0.45,100,15
7262.txt,astar,linearConflict,3x3,3629,0.74,248,15
7263.txt,astar,linearConflict,3x3,95,0.32,67,15
7264.txt,astar,linearConflict,3x3,112,0.34,69,15
7265.txt,astar,linearConflict,3x3,2782,0.71,230,15
7266.txt,astar,linearConflict,3x3,123,0.35,72,15
7267.txt,astar,linearConflict,3x3,24,0.17,50,15
7268.txt,astar,linearConflict,3x3,3851,0.75,242,15
7269.txt,astar,linearConflict,3x3,2217,0.68,194,15
7270.txt,astar,linearConflict,3x3,3242,0.73,238,15
7271.txt,astar,linearConflict,3x3,50,0.25,58,15
7272.txt,astar,linearConflict,3x3,120,0.34,72,15
7273.txt,astar,linearConflict,3x3,47,0.24,59,15
7274.txt,astar,linearConflict,3x3,89,0.31,65,15
7275.txt,astar,linearConflict,3x3,358,0.47,101,15
7276.txt,astar,linearConflict,3x3,488,0.5,115,15
7277.txt,astar,linearConflict,3x3,1271,0.62,155,15
7278.txt,astar,linearConflict,3x3,429,0.48,107,15
7279.txt,astar,linearConflict,3x3,397,0.48,103,15
9975.txt,astar,linearConflict,3x3,7967,0.77,358,16
9976.txt,astar,linearConflict,3x3,351,0.42,98,16
9977.txt,astar,linearConflict,3x3,248,0.39,90,16
9978.txt,astar,linearConflict,3x3,915,0.53,144,16
9979.txt,astar,linearConflict,3x3,7435,0.77,338,16
9980.txt,astar,linearConflict,3x3,233,0.38,90,16
9981.txt,astar,linearConflict,3x3,1523,0.58,186,16
9982.txt,astar,linearConflict,3x3,38,0.2,54,16
9983.txt,astar,linearConflict,3x3,6216,0.74,330,16
9984.txt,astar,linearConflict,3x3,1338,0.57,168,16
9985.txt,astar,linearConflict,3x3,632,0.49,121,16
9986.txt,astar,linearConflict,3x3,720,0.5,127,16
9987.txt,astar,linearConflict,3x3,880,0.52,138,16
9988.txt,astar,linearConflict,3x3,622,0.49,123,16
9989.txt,astar,linearConflict,3x3,330,0.42,99,16
9990.txt,astar,linearConflict,3x3,49,0.22,57,16
9991.txt,astar,linearConflict,3x3,411,0.44,105,16
9992.txt,astar,linearConflict,3x3,2661,0.65,209,16
9993.txt,astar,linearConflict,3x3,243,0.38,88,16
9994.txt,astar,linearConflict,3x3,944,0.52,139,16
9995.txt,astar,linearConflict,3x3,184,0.36,81,16
9996.txt,astar,linearConflict,3x3,40,0.2,54,16
9997.txt,astar,linearConflict,3x3,195,0.36,81,16
9998.txt,astar,linearConflict,3x3,270,0.4,91,16
9999.txt,astar,linearConflict,3x3,100,0.29,67,16
17378.txt,astar,linearConflict,3x3,356,0.39,98,17
17379.txt,astar,linearConflict,3x3,3176,0.61,219,17
17380.txt,astar,linearConflict,3x3,197,0.33,82,17
17381.txt,astar,linearConflict,3x3,1090,0.51,151,17
17382.txt,astar,linearConflict,3x3,289,0.37,93,17
17383.txt,astar,linearConflict,3x3,2875,0.6,214,17
17384.txt,astar,linearConflict,3x3,72,0.24,62,17
17385.txt,astar,linearConflict,3x3,79,0.25,65,17
17386.txt,astar,linearConflict,3x3,644,0.46,126,17
17387.txt,astar,linearConflict,3x3,56,0.22,58,17
17388.txt,astar,linearConflict,3x3,9493,0.73,360,17
17389.txt,astar,linearConflict,3x3,2534,0.59,215,17
17390.txt,astar,linearConflict,3x3,11572,0.75,419,17
17391.txt,astar,linearConflict,3x3,13642,0.77,425,17
17392.txt,astar,linearConflict,3x3,1269,0.52,157,17
17393.txt,astar,linearConflict,3x3,379,0.4,101,17
17394.txt,astar,linearConflict,3x3,5965,0.68,307,17
17395.txt,astar,linearConflict,3x3,967,0.49,142,17
17396.txt,astar,linearConflict,3x3,1835,0.55,193,17
17397.txt,astar,linearConflict,3x3,8146,0.71,363,17
17398.txt,astar,linearConflict,3x3,127,0.3,73,17
17399.txt,astar,linearConflict,3x3,112,0.28,70,17
17400.txt,astar,linearConflict,3x3,761,0.46,130,17
17401.txt,astar,linearConflict,3x3,1874,0.56,186,17
17402.txt,astar,linearConflict,3x3,116,0.29,70,17
26907.txt,astar,linearConflict,3x3,509,0.39,113,18
26908.txt,astar,linearConflict,3x3,50459,0.85,951,18
26909.txt,astar,linearConflict,3x3,2878,0.56,211,18
26910.txt,astar,linearConflict,3x3,143,0.28,74,18
26911.txt,astar,linearConflict,3x3,356,0.36,98,18
26912.txt,astar,linearConflict,3x3,1934,0.51,185,18
26913.txt,astar,linearConflict,3x3,2521,0.54,198,18
26914.txt,astar,linearConflict,3x3,3847,0.58,238,18
26915.txt,astar,linearConflict,3x3,823,0.43,130,18
26916.txt,astar,linearConflict,3x3,379,0.36,99,18
26917.txt,astar,linearConflict,3x3,1207,0.47,156,18
26918.txt,astar,linearConflict,3x3,17166,0.73,489,18
26919.txt,astar,linearConflict,3x3,971,0.46,147,18
26920.txt,astar,linearConflict,3x3,2973,0.56,224,18
26921.txt,astar,linearConflict,3x3,2657,0.55,205,18
26922.txt,astar,linearConflict,3x3,92,0.24,66,18
26923.txt,astar,linearConflict,3x3,355,0.36,98,18
26924.txt,astar,linearConflict,3x3,2481,0.54,216,18
26925.txt,astar,linearConflict,3x3,12779,0.7,437,18
26926.txt,astar,linearConflict,3x3,2657,0.55,219,18
26927.txt,astar,linearConflict,3x3,98,0.25,68,18
26928.txt,astar,linearConflict,3x3,238,0.33,89,18
26929.txt,astar,linearConflict,3x3,359,0.36,100,18
26930.txt,astar,linearConflict,3x3,1587,0.49,180,18
26931.txt,astar,linearConflict,3x3,1228,0.47,154,18
37785.txt,astar,linearConflict,3x3,948,0.42,141,19
37786.txt,astar,linearConflict,3x3,276,0.31,91,19
37787.txt,astar,linearConflict,3x3,510,0.36,111,19
37788.txt,astar,linearConflict,3x3,3163,0.53,233,19
37789.txt,astar,linearConflict,3x3,2527,0.5,212,19
37790.txt,astar,linearConflict,3x3,2868,0.52,224,19
37791.txt,astar,linearConflict,3x3,2255,0.5,216,19
37792.txt,astar,linearConflict,3x3,5813,0.58,288,19
37793.txt,astar,linearConflict,3x3,122,0.24,72,19
37794.txt,astar,linearConflict,3x3,29420,0.73,689,19
37795.txt,astar,linearConflict,3x3,7140,0.6,341,19
37796.txt,astar,linearConflict,3x3,2475,0.5,213,19
37797.txt,astar,linearConflict,3x3,2382,0.5,195,19
37798.txt,astar,linearConflict,3x3,741,0.39,129,19
37799.txt,astar,linearConflict,3x3,3355,0.53,229,19
37800.txt,astar,linearConflict,3x3,1509,0.46,174,19
37801.txt,astar,linearConflict,3x3,349,0.33,97,19
37802.txt,astar,linearConflict,3x3,939,0.41,143,19
37803.txt,astar,linearConflict,3x3,4791,0.56,289,19
37804.txt,astar,linearConflict,3x3,627,0.38,117,19
37805.txt,astar,linearConflict,3x3,10691,0.64,384,19
37806.txt,astar,linearConflict,3x3,2199,0.49,192,19
37807.txt,astar,linearConflict,3x3,1345,0.45,172,19
37808.txt,astar,linearConflict,3x3,1510,0.46,164,19
37809.txt,astar,linearConflict,3x3,19124,0.69,510,19
54773.txt,astar,linearConflict,3x3,5560,0.54,303,20
54774.txt,astar,linearConflict,3x3,1068,0.4,152,20
54775.txt,astar,linearConflict,3x3,807,0.38,130,20
54777.txt,astar,linearConflict,3x3,21519,0.66,546,20
54778.txt,astar,linearConflict,3x3,498,0.34,114,20
54779.txt,astar,linearConflict,3x3,1305,0.41,160,20
54780.txt,astar,linearConflict,3x3,1928,0.44,180,20
54782.txt,astar,linearConflict,3x3,349,0.31,97,20
54783.txt,astar,linearConflict,3x3,18256,0.63,469,20
54784.txt,astar,linearConflict,3x3,137,0.24,72,20
54785.txt,astar,linearConflict,3x3,5318,0.53,292,20
54787.txt,astar,linearConflict,3x3,793,0.38,132,20
54788.txt,astar,linearConflict,3x3,815,0.37,133,20
54789.txt,astar,linearConflict,3x3,153314,0.84,2521,20
54790.txt,astar,linearConflict,3x3,16006,0.62,470,20
54791.txt,astar,linearConflict,3x3,3038,0.48,213,20
54792.txt,astar,linearConflict,3x3,727,0.36,126,20
54794.txt,astar,linearConflict,3x3,407,0.32,106,20
54795.txt,astar,linearConflict,3x3,268,0.29,90,20
54796.txt,astar,linearConflict,3x3,4983,0.53,279,20
